"vialEggs","day","vial","replication"
121,5,1,1
130,5,2,1
201,5,3,1
144,5,4,1
136,5,5,1
199,5,6,1
143,5,7,1
146,5,8,1
180,5,9,1
149,5,1,2
195,5,2,2
190,5,3,2
171,5,4,2
142,5,5,2
156,5,6,2
169,5,7,2
177,5,8,2
163,5,9,2
149,5,10,2
151,5,1,3
162,5,2,3
179,5,3,3
101,5,4,3
126,5,5,3
153,5,6,3
142,5,7,3
153,5,8,3
163,5,9,3
156,5,1,4
154,5,2,4
174,5,3,4
173,5,4,4
185,5,5,4
170,5,6,4
163,5,7,4
149,5,8,4
149,5,9,4
163,5,1,5
134,5,2,5
186,5,3,5
148,5,4,5
183,5,5,5
153,5,6,5
140,5,7,5
172,5,8,5
147,5,9,5
155,5,10,5
115,6,1,1
129,6,2,1
161,6,3,1
156,6,4,1
126,6,5,1
183,6,6,1
147,6,7,1
127,6,8,1
185,6,9,1
162,6,1,2
205,6,2,2
186,6,3,2
153,6,4,2
133,6,5,2
182,6,6,2
198,6,7,2
156,6,8,2
185,6,9,2
195,6,10,2
206,6,1,3
187,6,2,3
197,6,3,3
148,6,4,3
157,6,5,3
194,6,6,3
165,6,7,3
138,6,8,3
206,6,9,3
208,6,1,4
132,6,2,4
184,6,3,4
186,6,4,4
176,6,5,4
193,6,6,4
171,6,7,4
206,6,8,4
185,6,9,4
180,6,1,5
155,6,2,5
193,6,3,5
156,6,4,5
198,6,5,5
186,6,6,5
128,6,7,5
186,6,8,5
157,6,9,5
205,6,10,5
88,7,1,1
142,7,2,1
168,7,3,1
150,7,4,1
141,7,5,1
169,7,6,1
151,7,7,1
156,7,8,1
179,7,9,1
124,7,1,2
167,7,2,2
197,7,3,2
176,7,4,2
154,7,5,2
162,7,6,2
125,7,7,2
174,7,8,2
159,7,9,2
171,7,10,2
155,7,1,3
141,7,2,3
173,7,3,3
106,7,4,3
133,7,5,3
131,7,6,3
128,7,7,3
150,7,8,3
157,7,9,3
135,7,1,4
163,7,2,4
163,7,3,4
147,7,4,4
162,7,5,4
174,7,6,4
168,7,7,4
107,7,8,4
160,7,9,4
155,7,1,5
161,7,2,5
133,7,3,5
166,7,4,5
181,7,5,5
169,7,6,5
123,7,7,5
183,7,8,5
157,7,9,5
151,7,10,5
74,8,1,1
140,8,2,1
174,8,3,1
137,8,4,1
150,8,5,1
151,8,6,1
148,8,7,1
136,8,8,1
183,8,9,1
112,8,1,2
178,8,2,2
172,8,3,2
168,8,4,2
147,8,5,2
140,8,6,2
150,8,7,2
168,8,8,2
142,8,9,2
167,8,10,2
158,8,1,3
170,8,2,3
141,8,3,3
106,8,4,3
127,8,5,3
130,8,6,3
122,8,7,3
146,8,8,3
156,8,9,3
144,8,1,4
167,8,2,4
186,8,3,4
137,8,4,4
172,8,5,4
160,8,6,4
159,8,7,4
126,8,8,4
155,8,9,4
154,8,1,5
145,8,2,5
134,8,3,5
146,8,4,5
177,8,5,5
173,8,6,5
100,8,7,5
162,8,8,5
144,8,9,5
158,8,10,5
63,9,1,1
155,9,2,1
191,9,3,1
155,9,4,1
142,9,5,1
194,9,6,1
195,9,7,1
169,9,8,1
171,9,9,1
139,9,1,2
240,9,2,2
238,9,3,2
228,9,4,2
201,9,5,2
203,9,6,2
184,9,7,2
189,9,8,2
169,9,9,2
212,9,10,2
151,9,1,3
169,9,2,3
182,9,3,3
111,9,4,3
130,9,5,3
139,9,6,3
148,9,7,3
161,9,8,3
168,9,9,3
148,9,1,4
185,9,2,4
175,9,3,4
164,9,4,4
179,9,5,4
174,9,6,4
170,9,7,4
136,9,8,4
168,9,9,4
157,9,1,5
192,9,2,5
157,9,3,5
160,9,4,5
185,9,5,5
184,9,6,5
96,9,7,5
192,9,8,5
158,9,9,5
176,9,10,5
102,10,1,1
135,10,2,1
149,10,3,1
134,10,4,1
126,10,5,1
177,10,6,1
161,10,7,1
149,10,8,1
157,10,9,1
116,10,1,2
164,10,2,2
183,10,3,2
180,10,4,2
143,10,5,2
175,10,6,2
138,10,7,2
165,10,8,2
131,10,9,2
163,10,10,2
166,10,1,3
161,10,2,3
159,10,3,3
109,10,4,3
117,10,5,3
140,10,6,3
130,10,7,3
154,10,8,3
161,10,9,3
110,10,1,4
166,10,2,4
156,10,3,4
140,10,4,4
186,10,5,4
152,10,6,4
135,10,7,4
115,10,8,4
170,10,9,4
133,10,1,5
151,10,2,5
136,10,3,5
157,10,4,5
173,10,5,5
180,10,6,5
96,10,7,5
171,10,8,5
158,10,9,5
137,10,10,5
97,11,1,1
126,11,2,1
137,11,3,1
141,11,4,1
114,11,5,1
192,11,6,1
148,11,7,1
151,11,8,1
159,11,9,1
108,11,1,2
206,11,2,2
191,11,3,2
176,11,4,2
143,11,5,2
162,11,6,2
143,11,7,2
166,11,8,2
125,11,9,2
189,11,10,2
172,11,1,3
119,11,2,3
131,11,3,3
102,11,4,3
113,11,5,3
132,11,6,3
196,11,7,3
145,11,8,3
146,11,9,3
111,11,1,4
127,11,2,4
165,11,3,4
145,11,4,4
179,11,5,4
164,11,6,4
185,11,7,4
128,11,8,4
163,11,9,4
158,11,1,5
185,11,2,5
145,11,3,5
156,11,4,5
198,11,5,5
197,11,6,5
86,11,7,5
188,11,8,5
150,11,9,5
148,11,10,5
83,12,1,1
132,12,2,1
125,12,3,1
130,12,4,1
105,12,5,1
183,12,6,1
136,12,7,1
153,12,8,1
142,12,9,1
82,12,1,2
157,12,2,2
183,12,3,2
165,12,4,2
132,12,5,2
173,12,6,2
137,12,7,2
172,12,8,2
115,12,9,2
191,12,10,2
163,12,1,3
115,12,2,3
110,12,3,3
101,12,4,3
121,12,5,3
118,12,6,3
156,12,7,3
133,12,8,3
136,12,9,3
97,12,1,4
132,12,2,4
154,12,3,4
182,12,4,4
163,12,5,4
172,12,6,4
193,12,7,4
115,12,8,4
152,12,9,4
143,12,1,5
132,12,2,5
115,12,3,5
182,12,4,5
178,12,5,5
153,12,6,5
57,12,7,5
192,12,8,5
133,12,9,5
